time,training_accuracy,training_loss,test_accuracy,test_loss
2024-07-26 08:58:52.522761,21.02,2.07,19.0,2.0734
2024-07-26 09:00:03.711871,22.12,1.98,20.88,1.9831
2024-07-26 09:02:39.539053,23.4,1.96,22.12,1.9587
2024-07-26 09:05:53.860616,27.98,1.7,27.0,1.7077
2024-07-26 09:06:42.802764,36.15,1.64,32.75,1.6459
2024-07-26 09:07:34.703131,35.35,1.64,34.38,1.6529
2024-07-26 09:12:30.358863,26.9,1.79,26.38,1.8118
2024-07-26 09:13:31.377268,42.33,1.53,40.25,1.5291
2024-07-26 09:14:29.877944,36.98,1.59,37.0,1.5919
2024-07-26 09:15:20.027711,39.4,1.54,39.12,1.5427
2024-07-26 09:16:08.213069,34.62,1.62,33.38,1.6427
2024-07-26 09:16:53.888704,37.9,1.58,38.88,1.5716
2024-07-26 09:19:38.670013,40.38,1.53,39.88,1.5433
2024-07-26 09:22:06.628755,34.55,1.6,34.62,1.6243
2024-07-26 09:23:13.050077,36.78,1.58,36.0,1.5654
2024-07-26 09:23:57.873962,43.05,1.53,43.0,1.5348
2024-07-26 09:24:38.255854,41.15,1.5,42.25,1.5088
2024-07-26 09:25:25.299506,41.62,1.49,42.88,1.4906
2024-07-26 09:26:03.759424,42.4,1.52,41.25,1.5288
2024-07-26 09:26:44.803632,41.2,1.53,40.38,1.5389
2024-07-26 09:27:23.395472,41.98,1.53,41.12,1.5449
2024-07-26 09:28:03.712352,41.35,1.5,41.5,1.4998
2024-07-26 09:28:46.392237,39.6,1.52,39.12,1.5314
2024-07-26 09:29:30.723360,38.92,1.51,37.88,1.5204
2024-07-26 09:30:16.059210,44.25,1.49,46.62,1.4855
2024-07-26 09:31:03.439692,41.42,1.52,40.5,1.5406
2024-07-26 09:31:49.476830,43.5,1.48,44.25,1.4826
2024-07-26 09:32:38.781594,41.33,1.61,42.75,1.599
2024-07-26 09:33:27.661315,43.45,1.49,42.0,1.4938
2024-07-26 09:34:26.731697,37.15,1.59,37.12,1.5752
2024-07-26 09:35:18.070953,42.1,1.53,41.25,1.5374
2024-07-26 09:36:09.536226,46.33,1.46,46.75,1.4605
