time,start_or_stop
2024-07-26 08:54:38.203517,START
2024-07-26 08:58:52.750259,STOP
2024-07-26 08:59:12.769234,START
2024-07-26 09:00:04.797500,STOP
2024-07-26 09:00:04.841630,START
2024-07-26 09:02:54.386248,STOP
2024-07-26 09:02:54.625366,START
2024-07-26 09:05:55.793422,STOP
2024-07-26 09:05:55.821456,START
2024-07-26 09:06:44.960019,STOP
2024-07-26 09:06:44.979036,START
2024-07-26 09:07:37.282276,STOP
2024-07-26 09:07:37.301296,START
2024-07-26 09:12:35.058732,STOP
2024-07-26 09:12:35.250569,START
2024-07-26 09:13:35.609490,STOP
2024-07-26 09:13:35.638526,START
2024-07-26 09:14:33.665759,STOP
2024-07-26 09:14:33.700292,START
2024-07-26 09:15:24.214897,STOP
2024-07-26 09:15:24.266951,START
2024-07-26 09:16:13.073124,STOP
2024-07-26 09:16:13.124665,START
2024-07-26 09:16:59.103805,STOP
2024-07-26 09:16:59.122328,START
2024-07-26 09:19:43.901331,STOP
2024-07-26 09:19:43.934361,START
2024-07-26 09:22:12.440154,STOP
2024-07-26 09:22:12.476181,START
2024-07-26 09:23:20.592236,STOP
2024-07-26 09:23:20.656868,START
2024-07-26 09:24:04.988897,STOP
2024-07-26 09:24:05.032036,START
2024-07-26 09:24:46.903616,STOP
2024-07-26 09:24:46.926144,START
2024-07-26 09:25:34.239283,STOP
2024-07-26 09:25:34.261301,START
2024-07-26 09:26:13.628410,STOP
2024-07-26 09:26:13.651557,START
2024-07-26 09:26:56.484276,STOP
2024-07-26 09:26:56.502793,START
2024-07-26 09:27:39.567979,STOP
2024-07-26 09:27:39.592995,START
2024-07-26 09:28:27.033017,STOP
2024-07-26 09:28:27.063544,START
2024-07-26 09:29:16.497792,STOP
2024-07-26 09:29:16.517809,START
2024-07-26 09:30:02.244550,STOP
2024-07-26 09:30:02.356427,START
2024-07-26 09:30:53.903048,STOP
2024-07-26 09:30:53.932113,START
2024-07-26 09:31:42.025597,STOP
2024-07-26 09:31:42.045618,START
2024-07-26 09:32:32.607775,STOP
2024-07-26 09:32:32.627291,START
2024-07-26 09:33:23.003865,STOP
2024-07-26 09:33:23.022903,START
2024-07-26 09:34:23.455870,STOP
2024-07-26 09:34:23.476890,START
2024-07-26 09:35:15.698207,STOP
2024-07-26 09:35:15.721225,START
2024-07-26 09:36:07.687190,STOP
2024-07-26 09:36:07.726730,START
2024-07-26 09:36:55.503317,STOP
2024-07-26 09:36:55.535846,START
2024-07-26 09:37:46.696317,STOP
2024-07-26 09:37:46.716336,START
2024-07-26 09:38:40.650042,STOP
2024-07-26 09:38:40.671196,START
2024-07-26 09:39:33.953065,STOP
2024-07-26 09:39:33.985595,START
2024-07-26 09:40:23.182096,STOP
2024-07-26 09:40:23.202618,START
2024-07-26 09:41:13.361142,STOP
2024-07-26 09:41:13.394667,START
2024-07-26 09:42:01.808912,STOP
2024-07-26 09:42:01.828932,START
2024-07-26 09:42:49.066347,STOP
2024-07-26 09:42:49.099382,START
2024-07-26 09:43:59.007223,STOP
2024-07-26 09:43:59.079240,START
2024-07-26 09:44:51.061942,STOP
2024-07-26 09:44:51.081942,START
2024-07-26 09:45:36.707052,STOP
2024-07-26 09:45:36.743561,START
2024-07-26 09:46:22.998014,STOP
2024-07-26 09:46:23.018014,START
2024-07-26 09:47:11.509211,STOP
2024-07-26 09:47:11.529210,START
2024-07-26 09:47:57.632613,STOP
2024-07-26 09:47:57.651613,START
2024-07-26 09:48:49.624894,STOP
2024-07-26 09:48:49.647405,START
2024-07-26 09:49:36.825720,STOP
2024-07-26 09:49:36.847720,START
2024-07-26 09:50:22.997629,STOP
2024-07-26 09:50:23.060676,START
2024-07-26 09:57:14.712930,STOP
2024-07-26 09:57:14.890652,START
2024-07-26 09:59:38.490965,STOP
2024-07-26 09:59:38.524513,START
2024-07-26 10:00:25.497292,STOP
2024-07-26 10:00:25.519931,START
2024-07-26 10:01:15.810797,STOP
2024-07-26 10:01:15.838328,START
2024-07-26 10:02:02.749153,STOP
2024-07-26 10:02:02.771173,START
2024-07-26 10:02:51.027562,STOP
2024-07-26 10:02:51.060187,START
2024-07-26 10:03:40.918937,STOP
2024-07-26 10:03:40.953975,START
2024-07-26 10:04:32.626922,STOP
2024-07-26 10:04:32.660910,START
2024-07-26 10:05:24.221124,STOP
2024-07-26 10:05:24.245650,START
2024-07-26 10:06:14.858778,STOP
2024-07-26 10:06:14.878801,START
2024-07-26 10:07:05.856811,STOP
2024-07-26 10:07:05.880339,START
2024-07-26 10:08:56.934526,STOP
2024-07-26 10:08:56.982228,START
2024-07-26 10:11:35.830934,STOP
2024-07-26 10:11:35.864936,START
2024-07-26 10:12:27.297580,STOP
2024-07-26 10:12:27.324581,START
2024-07-26 10:13:15.295585,STOP
2024-07-26 10:13:15.337585,START
2024-07-26 10:14:08.391656,STOP
2024-07-26 10:14:08.412659,START
2024-07-26 10:14:59.120088,STOP
2024-07-26 10:14:59.149090,START
2024-07-26 10:15:50.068829,STOP
2024-07-26 10:15:50.091829,START
2024-07-26 10:16:39.972673,STOP
2024-07-26 10:16:40.013224,START
2024-07-26 10:17:28.823435,STOP
2024-07-26 10:17:28.848612,START
2024-07-26 10:18:24.726662,STOP
2024-07-26 10:18:24.755663,START
2024-07-26 10:19:15.584585,STOP
2024-07-26 10:19:15.620097,START
2024-07-26 10:20:05.330179,STOP
2024-07-26 10:20:05.358687,START
2024-07-26 10:20:56.628727,STOP
2024-07-26 10:20:56.670727,START
2024-07-26 10:21:46.326776,STOP
2024-07-26 10:21:46.384781,START
2024-07-26 10:22:37.887724,STOP
2024-07-26 10:22:37.920776,START
2024-07-26 10:23:29.957755,STOP
2024-07-26 10:23:29.981280,START
2024-07-26 10:24:25.833581,STOP
2024-07-26 10:24:25.862109,START
2024-07-26 10:29:33.449441,STOP
2024-07-26 10:29:33.476978,START
